"ID";"Perioden";"TotalRevenue_1";"Taxes_2";"SocialSecurityContributions_3"
"0";"1995JJ00";"  146760";"   72605";"   48532"
"1";"1996JJ00";"  154096";"   78336";"   48822"
"2";"1997JJ00";"  160855";"   82349";"   51750"
"3";"1998JJ00";"  168195";"   86958";"   54363"
"8";"1999JJ00";"  181666";"   94173";"   60045"
"13";"2000JJ00";"  195557";"  100708";"   64522"
"18";"2001JJ00";"  203912";"  108782";"   61323"
"23";"2002JJ00";"  206726";"  112334";"   61771"
"28";"2003JJ00";"  211383";"  111188";"   65888"
"33";"2004JJ00";"  219611";"  114265";"   68399"
"38";"2005JJ00";"  229470";"  124654";"   66547"
"43";"2006JJ00";"  250495";"  133147";"   75778"
"48";"2007JJ00";"  261648";"  141857";"   77072"
"53";"2008JJ00";"  279849";"  144346";"   86124"
"58";"2009JJ00";"  263942";"  137654";"   78839"
"63";"2010JJ00";"  272585";"  143212";"   82732"
"68";"2011JJ00";"  274438";"  139852";"   88470"
"73";"2012JJ00";"  278801";"  135482";"   94844"
"78";"2013JJ00";"  286539";"  139107";"   97372"
"83";"2014JJ00";"  291176";"  147758";"   98616"
"88";"2015JJ00";"  292740";"  156300";"   96426"
"93";"2016JJ00";"  307822";"  165634";"  104253"
"98";"2017JJ00";"  320029";"  180226";"  102258"
